lookupId,First Order (from sales data),src_www,src_iphone,src_android,src_ipad,src_manual,src_facebookshop,src_external,src_Amazon FBM,January,February,March,April,May,June,July,August,September,October,November,December,pct_Direct Sales,pct_Orders for Stock,pct_Drop Shipments,pct_Platypus,pct_Moss Motors Only,pct_R&D Club,Units Sold,Base Product Sku,Listing Type,Unit Weight (pounds),retailPrice,make,model,yearMin,yearMax,Revenue 2019 to present,Number of Components,BOM Cost,Sales Channel,Product Type,Designer,Main Component Material,Main Component MFG Process,Main Component Finishing Process
CRCH-0016-585,2/18/21,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,CRCH-0016,single,0.25,35,Cadillac,SRX,2010,2014,35,5,6.82223,BigC,#BulletStubby,Tristan,Aluminum,Lathe,Anodize
CRCH-0016-615,2/4/19,60.00%,20.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%,40.00%,0.00%,40.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5,CRCH-0016,single,0.25,35,Chevrolet,Equinox,2010,2014,175,5,6.82223,BigC,#BulletStubby,Tristan,Aluminum,Lathe,Anodize
CRCH-0016-690,no sales,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,CRCH-0016,single,0.25,35,Chevrolet,Volt,2011,2014,0,5,6.82223,BigC,#BulletStubby,Tristan,Aluminum,Lathe,Anodize
CRCH-0016-699,1/2/20,66.67%,0.00%,0.00%,33.33%,0.00%,0.00%,0.00%,0.00%,33.33%,33.33%,0.00%,0.00%,0.00%,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3,CRCH-0016,single,0.25,35,Jeep,Liberty,2011,2015,105,5,6.82223,BigC,#BulletStubby,Tristan,Aluminum,Lathe,Anodize
CRCH-0016-718,10/19/19,33.33%,16.67%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,16.67%,33.33%,16.67%,0.00%,16.67%,0.00%,0.00%,0.00%,0.00%,16.67%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6,CRCH-0016,single,0.25,35,Dodge,Journey,2009,2018,210,5,6.82223,BigC,#BulletStubby,Tristan,Aluminum,Lathe,Anodize
CRCH-0016-754,no sales,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,CRCH-0016,single,0.25,35,Dodge,Durango,2011,2018,0,5,6.82223,BigC,#BulletStubby,Tristan,Aluminum,Lathe,Anodize
CRCH-0016-795,11/14/19,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,CRCH-0016,single,0.25,35,FIAT,500X,2015,2021,70,5,6.82223,BigC,#BulletStubby,Tristan,Aluminum,Lathe,Anodize
CRCH-0016-859,5/11/20,50.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,CRCH-0016,single,0.25,35,GMC,Terrain,2010,2018,70,5,6.82223,BigC,#BulletStubby,Tristan,Aluminum,Lathe,Anodize
CRCH-0016-951,9/19/19,33.33%,33.33%,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%,33.33%,33.33%,0.00%,0.00%,33.33%,0.00%,0.00%,0.00%,66.67%,0.00%,0.00%,0.00%,0.00%,0.00%,3,CRCH-0016,single,0.25,35,Chrysler,200,2011,2016,105,5,6.82223,BigC,#BulletStubby,Tristan,Aluminum,Lathe,Anodize
CRCH-0035-498,1/3/19,49.45%,26.24%,16.91%,2.33%,1.57%,0.00%,2.33%,0.00%,9.83%,8.08%,12.16%,13.70%,6.73%,10.64%,12.39%,3.91%,1.75%,4.66%,6.24%,8.75%,76.97%,0.41%,13.29%,0.00%,0.00%,0.00%,204,CRCH-0035,single,0.19,25,Nissan,Titan,2004,2018,4287.5,4,2.41223,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRCZ-0015-136,3/17/20,20.34%,0.00%,0.00%,0.00%,79.66%,0.00%,0.00%,0.00%,0.00%,0.00%,29.66%,0.00%,0.00%,50.00%,0.00%,3.39%,0.00%,0.00%,0.00%,16.95%,66.95%,29.66%,0.00%,0.00%,0.00%,0.00%,40,CRCZ-0015,single,0.15,20,Harley-Davidson,Road King,1998,2021,589.96,4,3.13883,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRCZ-0015-161,1/8/19,61.42%,14.29%,10.87%,5.41%,4.03%,0.00%,1.28%,0.00%,4.59%,6.58%,11.24%,9.81%,14.03%,10.21%,11.04%,12.86%,5.00%,5.15%,4.02%,2.76%,73.29%,13.36%,5.60%,0.00%,0.00%,0.00%,473,CRCZ-0015,single,0.15,20,Harley-Davidson,Electra Glide,1998,2021,9797.25,4,3.13883,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRCZ-0015-165,3/14/19,43.91%,22.12%,21.47%,1.28%,0.00%,0.00%,11.22%,0.00%,5.13%,10.58%,16.67%,8.01%,2.88%,2.88%,6.73%,10.26%,3.85%,5.45%,10.58%,16.99%,82.69%,2.24%,0.00%,0.00%,0.00%,0.00%,75,CRCZ-0015,single,0.15,20,Ford,Focus,2000,2007,1560,4,3.13883,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRCZ-0015-324,1/13/19,59.89%,17.66%,14.75%,1.98%,3.05%,0.00%,3.39%,0.00%,5.72%,6.92%,18.87%,13.73%,13.65%,9.01%,6.01%,7.32%,6.17%,5.53%,2.80%,4.98%,56.40%,10.24%,21.58%,0.00%,0.00%,0.00%,1011,CRCZ-0015,single,0.15,20,Harley-Davidson,Street Glide,1998,2021,20504,4,3.13883,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRCZ-0015-325,12/4/19,62.26%,25.16%,10.06%,2.52%,0.00%,0.00%,0.00%,0.00%,5.66%,5.66%,10.69%,8.81%,10.06%,5.03%,10.06%,15.09%,10.06%,5.03%,2.52%,11.32%,94.34%,0.00%,0.00%,0.00%,0.00%,0.00%,46,CRCZ-0015,variant,0.15,20,Pontiac,Solstice,2006,2009,795,4,3.13883,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
